old_vcf_name	new_vcf_name
10_137_S27_L003	10_137_S27_L003
10_143_S28_L003	10_143_S28_L003
10_148_S29_L003	10_148_S29_L003
11C_S3_L002_R1_001.fastq.gz.trimmed.fastq.sam	11C_S3_L002
11_160_S30_L003	11_160_S30_L003
11_161_S31_L003	11_161_S31_L003
13_184_S32_L003	13_184_S32_L003
13_188_S33_L003	13_188_S33_L003
13_192_S34_L003	13_192_S34_L003
14A_S11_L002_R1_001.fastq.gz.trimmed.fastq.sam	14A_S11_L002
14_200_S35_L003	14_200_S35_L003
14_201_S36_L003	14_201_S36_L003
1516_S20_L002_R1_001.fastq.gz.trimmed.fastq.sam	1516_S20_L002
15_211_S37_L003	15_211_S37_L003
15_213_S38_L003	15_213_S38_L003
15_224_S39_L003	15_224_S39_L003
16C_S9_L002_R1_001.fastq.gz.trimmed.fastq.sam	16C_S9_L002
16_227_S40_L003	16_227_S40_L003
16_235_S41_L003	16_235_S41_L003
16_239_S42_L003	16_239_S42_L003
1765_S26_L002_R1_001.fastq.gz.trimmed.fastq.sam	1765_S26_L002
17_241_S43_L003	17_241_S43_L003
17_249_S44_L003	17_249_S44_L003
17_254_S45_L003	17_254_S45_L003
18_256_S46_L003	18_256_S46_L003
18_258_S47_L003	18_258_S47_L003
18_270_S48_L003	18_270_S48_L003
19_274_S49_L003	19_274_S49_L003
19_280_S50_L003	19_280_S50_L003
19_284_S51_L003	19_284_S51_L003
1_13_S2_L003	1_13_S2_L003
1_15_S3_L003	1_15_S3_L003
1_3_S1_L003	1_3_S1_L003
20_290_S52_L003	20_290_S52_L003
20_295_S53_L003	20_295_S53_L003
20_300_S54_L003	20_300_S54_L003
21_302_S55_L003	21_302_S55_L003
21_306_S56_L003	21_306_S56_L003
21_312_S57_L003	21_312_S57_L003
22A_S60_L002_R1_001.fastq.gz.trimmed.fastq.sam	22A_S60_L002
22_320_S58_L003	22_320_S58_L003
22_321_S59_L003	22_321_S59_L003
22_325_S60_L003	22_325_S60_L003
23_337_S61_L003	23_337_S61_L003
23_341_S62_L003	23_341_S62_L003
24_351_S63_L003	24_351_S63_L003
24_357_S64_L003	24_357_S64_L003
24_359_S65_L003	24_359_S65_L003
26B_S5_L002_R1_001.fastq.gz.trimmed.fastq.sam	26B_S5_L002
29A_S13_L002_R1_001.fastq.gz.trimmed.fastq.sam	29A_S13_L002
2_19_S4_L003	2_19_S4_L003
